3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
-4,-32,-756,-27264,-1252040,-67008672,-3986927140,-256351767040,-17489519861976,-1250347053328960
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
-4,-32,-756,-27264,-1252040,-67008672,-3986927140,-256351767040,-17489519861976,-1250347053328960
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
5,-110,6885,-672000,83508575,-12094519140,1947142107715,-338737148734400,62523355202658900,-12092288273835858400
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
3,-6,27,-192,1695,-17064,188454,-2228160,27748899,-360012150
5,-110,6885,-672000,83508575,-12094519140,1947142107715,-338737148734400,62523355202658900,-12092288273835858400
5,-110,6885,-672000,83508575,-12094519140,1947142107715,-338737148734400,62523355202658900,-12092288273835858400
-4,-32,-756,-27264,-1252040,-67008672,-3986927140,-256351767040,-17489519861976,-1250347053328960
